slug,symbol,close,volume
bitcoin,BTC,57005.42547359979,36708594617.63
litecoin,LTC,208.0145382299456,2122547294.06
namecoin,NMC,1.869855272451439,12882.28
terracoin,TRC,0.022804721187827982,696.75
peercoin,PPC,0.9037312539686865,50417.59
novacoin,NVC,0.31073757186391,595.5
feathercoin,FTC,0.015394338422615724,2592.62
freicoin,FRC,0.011403213646382018,115.64
ixcoin,IXC,0.10122972774732,0
worldcoin,WDC,0.046407333151977696,752.75
digitalcoin,DGC,0.00798224955247,0
goldcoin,GLC,0.11804011490622802,6772.88
phoenixcoin,PXC,0.018245148340861866,5341
megacoin,MEC,0.005701606823191009,4.44
infinitecoin,IFC,1.7104820469573026e-4,78.84
primecoin,XPM,0.08150261061672145,1298.76
anoncoin,ANC,0.050744300726399974,0.51
casinocoin,CSC,0.0029360350320545665,994249.4
emerald,EMD,0.043925079351207666,138.06
xrp,XRP,0.9987539217401573,2949826821.23
quark,QRK,0.004471904249470881,312.63
zetacoin,ZET,0.0011401085094719958,197.96
tagcoin,TAG,0.04105156912698,0
public-index-network,PIN,0.028508034115955042,4376.62
nxt,NXT,0.01556356713574459,327986.46
unobtanium,UNO,27.555443237906385,4183.02
datacoin,DTC,0.00114032136464,0
deutsche-emark,DEM,0.0030344689819554846,436.69
dogecoin,DOGE,0.21471451161931426,1897635999.36
diamond,DMD,3.4647481949554524,58086.59
hobonickels,HBN,0.00570160682319,0
orbitcoin,ORB,0.29192226934737964,0.04
omni,OMNI,3.4761,94.91
fedoracoin,TIPS,1.225496023152614e-5,40404.36
dimecoin,DIME,4.36434036955449e-6,2805.45
42-coin,42,111118.61366668752,4078.06
vertcoin,VTC,0.5701543060064259,345882.74
digibyte,DGB,0.04803947216806495,30912540.1
smartcoin,SMC,0.014254017057977521,255.99
redd,RDD,0.002302311117010558,138356.02
potcoin,POT,0.014151965319214655,1024.87
blakecoin,BLC,4.7346065073e-4,0
maxcoin,MAX,0.008601808336905447,474.71
dash,DASH,179.6496419326434,301570940.68
counterparty,XCP,18.25175433904091,227115.82
mintcoin,MINT,1.1401085094719957e-4,1570.57
dopecoin,DOPE,0.00342096409391,0
auroracoin,AUR,0.15850466968471005,98.97
pesetacoin,PTD,9.6927315994e-4,0
marscoin,MARS,0.1937287325779451,11278.39
magic-internet-money,MIM,0.999133776944022,225433834.32
uniform-fiscal-object,UFO,0.001995800791544845,54723.24
blackcoin,BLK,0.05188462209103818,1464.36
photon,PHO,2.08155038e-6,0
myriad,XMY,0.0033894785239151825,13604.2
dnotes,NOTE,1.3905341037524806e-4,126426.44
einsteinium,EMC2,0.04390002431461655,43917.23
eccoin,ECC,3.0544454336857034e-4,19.9
monacoin,MONA,1.8000437565986045,5771033.31
rubycoin,RBY,0.36718347941350093,17.48
belacoin,BELA,0.00627176750551,0
faircoin,FAIR,0.02961140659622934,2204690.86
e-gulden,EFL,0.14767161672064713,135.21
gulden,NLG,0.0172212140654285,64738.45
groestlcoin,GRS,1.0210821582059633,6874764.68
petrodollar,XPD,0.0119733743287,0
plncoin,PLNC,5.7016068232e-4,0
whitecoin,XWC,0.8978932253266085,14091071.94
bitstar,BITS,0.01539146487787,0
quebecoin,QBC,0.00285027127368,0
bluecoin,BLU,0.00114032136464,0
maidsafecoin,MAID,0.513822242868745,1396070.45
bitcoin-plus,XBC,9.443648976103136,72381.12
newyorkcoin,NYC,5.177784067077644e-5,6312.81
pinkcoin,PINK,0.005701606823191009,3833.57
dreamcoin,DRM,0.01710482046957,0
energycoin,ENRG,7.412088870148311e-4,0.01
vericoin,VRC,0.041621729809294364,740.69
monero,XMR,238.09703785609315,266503040.47
litecoin-plus,LCP,0.03934108708001796,0.01
curecoin,CURE,0.09177516310944708,2600.01
supercoin,SUPER,0.00342032552842,0
motocoin,MOTO,0.04675317595017,0
cloakcoin,CLOAK,0.3319072084230485,2255.8
bitsend,BSD,0.002035951779921289,36.45
coin2-1,C2,0.00114032136464,0
bytecoin-bcn,BCN,3.9465300592285635e-4,61238.16
nav-coin,"NAV",0.3859995596758067,301446.68
startcoin,START,0.00342096409391,0
digitalnote,XDN,9.585695676663343e-4,4784.88
boolberry,BBR,0.00513144614087,0
hempcoin,THC,0.009122570917105614,674.59
stealth,XST,0.06726640205884775,14626.66
clams,CLAM,0.6162286493696136,7.9
bitshares,BTS,0.047484987245993954,10556177.64
viacoin,VIA,0.25087070022040436,103437.3
iocoin,IOC,0.09863779804120446,572.94
cryptonite,XCN,5.7016068232e-4,0
carboncoin,CARBON,5.7016068232e-4,0
cannabiscoin,CANN,0.03306931957451,0
stellar,XLM,0.33616428808502535,765495934.15
syscoin,SYS,0.7640888474966053,28725300.7
donu,DONU,0.00513144614087,0
emercoin,EMC,0.08643834190436923,778896.61
rabbitcoin,RBBT,5.7005425474e-4,0
gamecredits,GAME,0.24814636327101922,1462280.04
native-coin,N8V,0.01966687178839,0
ubiq,UBQ,0.23491268384139072,20843.78
opal,OPAL,0.01026289228174,0
acoin,ACOIN,0.022806427292764036,5.95
bitcny,BITCNY,0.1586509328432452,605388.19
nubits,USNBT,0.13004523756658,0
exclusivecoin,EXCL,0.08951522712409883,605.32
trollcoin,TROLL,5.701606823191009e-4,12.31
globalboost-y,BSTY,0.036573080375238716,4455.69
prime-xi,PXI,5.7016068232e-4,0
bitswift,BITS,0.20772408002141943,31260.12
verge,XVG,0.023705880177321764,17190690.53
nushares,NSR,8.952776971e-5,0
spreadcoin,SPR,0.00285027127368,0
rimbit,RBT,5.7016068232e-4,0
